,Film_ID,Film,Film1,Film2,Film3,Film4,Film5
0,0,Avatar ,Terminator 2: Judgment Day ,Transformers ,Transformers: Age of Extinction ,Star Trek ,Star Trek Into Darkness 
1,1,Pirates of the Caribbean: At World's End ,Pirates of the Caribbean: The Curse of the Black Pearl ,Pirates of the Caribbean: Dead Man's Chest ,Pirates of the Caribbean: On Stranger Tides ,X-Men Origins: Wolverine ,The Amazing Spider-Man 2 
2,2,Spectre ,Skyfall ,Skyfall ,Casino Royale ,Casino Royale ,The Wolverine 
3,3,The Dark Knight Rises ,Inception ,Batman Begins ,The Dark Knight ,The Wolverine ,Furious 7 
4,4,Star Wars: Episode VII - The Force Awakens             ,"10,000 B.C.             ","To Be Frank, Sinatra at 100 ",The Doombolt Chase             ,Stories of Our Lives ,Butterfly Girl 
5,5,John Carter ,The Wolverine ,Green Lantern ,Battle Los Angeles ,Battlefield Earth ,Independence Day: Resurgence 
6,6,Spider-Man 3 ,Spider-Man 3 ,Spider-Man ,Spider-Man 2 ,Superman Returns ,Pirates of the Caribbean: At World's End 
7,7,Tangled ,Frozen ,Brave ,Shrek 2 ,Inside Out ,Wreck-It Ralph 
8,8,Avengers: Age of Ultron ,The Avengers ,The Avengers ,Captain America: Civil War ,Batman v Superman: Dawn of Justice ,Thor 
9,9,Harry Potter and the Half-Blood Prince ,Harry Potter and the Chamber of Secrets ,Harry Potter and the Order of the Phoenix ,Harry Potter and the Goblet of Fire ,Harry Potter and the Prisoner of Azkaban ,Harry Potter and the Sorcerer's Stone 
10,10,Batman v Superman: Dawn of Justice ,Man of Steel ,Star Trek Into Darkness ,Superman Returns ,Captain America: Civil War ,The Wolverine 
11,11,Superman Returns ,Batman v Superman: Dawn of Justice ,X-Men ,Star Trek Into Darkness ,The Wolverine ,Star Trek 
12,12,Quantum of Solace ,GoldenEye ,Tomorrow Never Dies ,Thunderball ,Skyfall ,Skyfall 
13,13,Pirates of the Caribbean: Dead Man's Chest ,Pirates of the Caribbean: At World's End ,Pirates of the Caribbean: The Curse of the Black Pearl ,Pirates of the Caribbean: On Stranger Tides ,Indiana Jones and the Kingdom of the Crystal Skull ,Star Wars: Episode III - Revenge of the Sith 
14,14,The Lone Ranger ,Pirates of the Caribbean: At World's End ,The Wolverine ,Pirates of the Caribbean: Dead Man's Chest ,Unstoppable ,Transformers: Age of Extinction 
15,15,Man of Steel ,Batman v Superman: Dawn of Justice ,Star Trek Into Darkness ,The Amazing Spider-Man 2 ,Star Wars: Episode III - Revenge of the Sith ,Avatar 
16,16,The Chronicles of Narnia: Prince Caspian ,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Atlantis: The Lost Empire ,Journey to the Center of the Earth ,Rise of the Guardians ,Maleficent 
17,17,The Avengers ,The Avengers ,Avengers: Age of Ultron ,Thor ,Star Trek ,Star Wars: Episode III - Revenge of the Sith 
18,18,Pirates of the Caribbean: On Stranger Tides ,Pirates of the Caribbean: At World's End ,Pirates of the Caribbean: The Curse of the Black Pearl ,Pirates of the Caribbean: Dead Man's Chest ,Thor: The Dark World ,The Wolverine 
19,19,Men in Black 3 ,Men in Black II ,Men in Black ,The Wolverine ,Green Lantern ,Edge of Tomorrow 
20,20,The Hobbit: The Battle of the Five Armies ,The Hobbit: An Unexpected Journey ,The Hobbit: The Desolation of Smaug ,The Lord of the Rings: The Fellowship of the Ring ,Big Fish ,The Lord of the Rings: The Return of the King 
21,21,The Amazing Spider-Man ,The Amazing Spider-Man 2 ,Pirates of the Caribbean: At World's End ,The Wolverine ,Star Trek Into Darkness ,Captain America: The First Avenger 
22,22,Robin Hood ,Transformers: Age of Extinction ,Transformers ,Apollo 13 ,Exodus: Gods and Kings ,Exodus: Gods and Kings 
23,23,The Hobbit: The Desolation of Smaug ,The Hobbit: An Unexpected Journey ,The Hobbit: The Battle of the Five Armies ,Big Fish ,Transformers: Age of Extinction ,The Martian 
24,24,The Golden Compass ,Lara Croft: Tomb Raider ,The Help ,Troy ,Angels & Demons ,Rise of the Guardians 
25,25,King Kong ,King Kong ,King Kong ,Pearl Harbor ,Cast Away ,The Theory of Everything 
26,26,Titanic ,The Fountain ,The Help ,Cast Away ,The Vow ,Message in a Bottle 
27,27,Captain America: Civil War ,Batman v Superman: Dawn of Justice ,Avengers: Age of Ultron ,Captain America: The Winter Soldier ,Iron Man 2 ,The Amazing Spider-Man 2 
28,28,Battleship ,The Wolverine ,After Earth ,G.I. Joe: The Rise of Cobra ,The Amazing Spider-Man 2 ,Green Lantern 
29,29,Jurassic World ,The Wolverine ,Jurassic Park III ,Jurassic Park ,Star Trek Into Darkness ,"I, Robot "
30,30,Skyfall ,Skyfall ,Spectre ,Transformers ,Die Another Day ,Quantum of Solace 
31,31,Spider-Man 2 ,Spider-Man 3 ,Spider-Man 3 ,Spider-Man ,Star Wars: Episode III - Revenge of the Sith ,Thor 
32,32,Iron Man 3 ,The Wolverine ,Star Trek Into Darkness ,Captain America: The Winter Soldier ,Iron Man 2 ,Batman v Superman: Dawn of Justice 
33,33,Alice in Wonderland ,Alice in Wonderland ,Alice Through the Looking Glass ,Charlie and the Chocolate Factory ,Big Fish ,Pete's Dragon 
34,34,X-Men: The Last Stand ,X-Men 2 ,The Wolverine ,X-Men Origins: Wolverine ,"I, Robot ",Lara Croft: Tomb Raider 
35,35,Monsters University ,Toy Story 3 ,"Monsters, Inc. ",Brave ,A Bug's Life ,Alvin and the Chipmunks: Chipwrecked 
36,36,Transformers: Revenge of the Fallen ,Transformers ,Transformers: Dark of the Moon ,Transformers: Age of Extinction ,Hulk ,Battlefield Earth 
37,37,Transformers: Age of Extinction ,Transformers ,Transformers: Dark of the Moon ,The Wolverine ,Transformers: Revenge of the Fallen ,Green Lantern 
38,38,Oz the Great and Powerful ,Oz the Great and Powerful ,The Croods ,Alice in Wonderland ,Alice in Wonderland ,Charlie and the Chocolate Factory 
39,39,The Amazing Spider-Man 2 ,The Amazing Spider-Man ,The Wolverine ,Star Trek Into Darkness ,Captain America: The First Avenger ,X-Men Origins: Wolverine 
